City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Westport,41.1415,-73.3579,59.29,83,90,10.0,US,2021-12-12 04:41:31
140,Hay River,60.8156,-115.7999,1.38,78,75,13.8,CA,2021-12-12 04:42:31
141,Vaitape,-16.5167,-151.75,80.53,72,66,6.91,PF,2021-12-12 04:42:32
142,Ormara,25.2088,64.6357,70.99,51,14,3.98,PK,2021-12-12 04:42:32
143,Havelock,34.8791,-76.9013,68.99,91,96,8.99,US,2021-12-12 04:42:33
144,Pisco,-13.7,-76.2167,64.45,88,0,10.36,PE,2021-12-12 04:42:33
145,Hobart,-42.8794,147.3294,71.02,48,75,1.99,AU,2021-12-12 04:40:17
146,Puerto Carreno,6.189,-67.4859,77.86,74,100,6.58,CO,2021-12-12 04:42:34
147,Vila Franca Do Campo,37.7167,-25.4333,66.2,89,100,17.31,PT,2021-12-12 04:42:34
148,Los Llanos De Aridane,28.6585,-17.9182,62.35,83,90,5.01,ES,2021-12-12 04:42:35
149,Dikson,73.5069,80.5464,-13.23,84,100,6.46,RU,2021-12-12 04:42:35
150,Cidreira,-30.1811,-50.2056,67.14,83,79,6.15,BR,2021-12-12 04:42:35
151,Nanortalik,60.1432,-45.2371,25.34,79,81,24.29,GL,2021-12-12 04:42:36
152,Upernavik,72.7868,-56.1549,4.44,94,100,10.38,GL,2021-12-12 04:42:36
153,Kavieng,-2.5744,150.7967,83.86,77,100,7.36,PG,2021-12-12 04:42:36
154,High Level,58.5169,-117.136,-9.85,100,65,3.87,CA,2021-12-12 04:39:17
155,Khatanga,71.9667,102.5,-46.97,100,50,3.29,RU,2021-12-12 04:42:37
156,Byron Bay,-28.65,153.6167,80.71,64,67,10.56,AU,2021-12-12 04:38:31
157,Cochrane,51.1834,-114.4687,25.07,93,90,9.22,CA,2021-12-12 04:42:16
158,Oktyabrskiy,54.4815,53.471,11.1,93,6,3.76,RU,2021-12-12 04:42:37
159,Totness,5.8833,-56.3167,76.42,92,100,10.58,SR,2021-12-12 04:42:38
160,Provideniya,64.3833,-173.3,-8.54,78,0,7.74,RU,2021-12-12 04:42:38
161,Kericho,-0.3677,35.2831,61.57,51,62,6.73,KE,2021-12-12 04:42:39
162,Deputatskiy,69.3,139.9,-27.6,100,98,0.87,RU,2021-12-12 04:42:39
163,Tuatapere,-46.1333,167.6833,57.81,51,0,9.31,NZ,2021-12-12 04:42:39
164,Almenara,-16.1836,-40.6944,71.13,99,69,2.44,BR,2021-12-12 04:42:40
165,Tuktoyaktuk,69.4541,-133.0374,-5.8,84,90,16.11,CA,2021-12-12 04:42:40
166,Katsuura,35.1333,140.3,66.18,64,27,24.43,JP,2021-12-12 04:42:40
167,Erenhot,43.6475,111.9767,17.44,40,2,14.63,CN,2021-12-12 04:42:41
168,Victoria,22.2855,114.1577,77.04,66,0,4.0,HK,2021-12-12 04:40:03
169,Nemuro,43.3236,145.575,45.03,69,20,10.02,JP,2021-12-12 04:42:41
170,Karwar,14.8,74.1333,84.27,56,32,8.28,IN,2021-12-12 04:42:41
171,Maragogi,-9.0122,-35.2225,76.78,81,8,10.16,BR,2021-12-12 04:42:42
172,Gap,44.6667,6.0,12.83,81,79,7.67,FR,2021-12-12 04:42:42
173,Vostok,46.4856,135.8833,20.79,92,100,3.87,RU,2021-12-12 04:42:43
174,Bambous Virieux,-20.3428,57.7575,82.22,69,75,13.8,MU,2021-12-12 04:42:43
175,Codrington,-38.2667,141.9667,74.26,43,4,16.33,AU,2021-12-12 04:42:43
176,Hamilton,39.1834,-84.5333,35.1,80,1,1.01,US,2021-12-12 04:42:44
177,Kavaratti,10.5669,72.642,82.2,70,64,8.25,IN,2021-12-12 04:42:44
178,Urumqi,43.801,87.6005,2.35,85,1,4.47,CN,2021-12-12 04:42:44
179,Xinzhi,36.4989,111.7047,41.83,23,78,5.26,CN,2021-12-12 04:42:45
180,Tiksi,71.6872,128.8694,-18.9,99,98,3.42,RU,2021-12-12 04:42:45
181,Salalah,17.0151,54.0924,77.09,33,0,12.66,OM,2021-12-12 04:42:45
182,San Quintin,30.4833,-115.95,57.43,64,0,8.25,MX,2021-12-12 04:42:46
183,Henties Bay,-22.116,14.2845,57.85,91,0,7.94,NA,2021-12-12 04:43:46
184,Half Moon Bay,37.4636,-122.4286,51.71,84,1,0.0,US,2021-12-12 04:43:47
185,Ambovombe,-25.1667,46.0833,82.71,50,0,7.07,MG,2021-12-12 04:43:47
186,Edinet,48.1681,27.305,49.37,94,100,13.47,MD,2021-12-12 04:43:47
187,Mecca,21.4267,39.8261,73.8,40,66,4.32,SA,2021-12-12 04:43:48
188,Ancud,-41.8697,-73.8203,49.53,84,85,16.42,CL,2021-12-12 04:43:48
189,Alofi,-19.0595,-169.9187,82.29,69,8,6.91,NU,2021-12-12 04:43:48
190,Yakovlevka,44.425,133.4772,20.05,61,94,11.36,RU,2021-12-12 04:43:49
191,Ahipara,-35.1667,173.1667,73.35,80,80,5.06,NZ,2021-12-12 04:43:49
192,Port Augusta,-32.5,137.7667,95.7,9,2,10.42,AU,2021-12-12 04:43:49
193,Sao Joao Da Barra,-21.6403,-41.0511,74.16,91,80,13.44,BR,2021-12-12 04:43:50
194,Katangli,51.7102,143.2326,23.77,95,95,6.78,RU,2021-12-12 04:43:50
195,Comodoro Rivadavia,-45.8667,-67.5,58.86,38,0,27.63,AR,2021-12-12 04:43:13
196,Rio Gallegos,-51.6226,-69.2181,50.05,87,90,8.05,AR,2021-12-12 04:43:51
197,Egvekinot,66.3167,-179.1667,-26.57,82,18,4.92,RU,2021-12-12 04:43:51
198,Broken Hill,-31.95,141.4333,87.51,11,0,9.22,AU,2021-12-12 04:43:51
199,Chara,56.9064,118.2631,-15.02,74,54,0.38,RU,2021-12-12 04:43:52
200,Olds,51.7834,-114.102,23.9,100,99,9.22,CA,2021-12-12 04:43:52
201,Binika,21.0333,83.8,76.68,59,9,2.46,IN,2021-12-12 04:43:52
202,Komsomolskiy,40.4272,71.7189,43.52,42,28,2.3,UZ,2021-12-12 04:43:53
203,Osmena,10.5208,119.9258,81.21,85,68,15.95,PH,2021-12-12 04:43:53
204,Shahpur,16.7,76.8333,80.04,54,19,11.61,IN,2021-12-12 04:43:53
205,Chokurdakh,70.6333,147.9167,-45.29,99,94,2.06,RU,2021-12-12 04:43:54
206,Mayor Pablo Lagerenza,-19.9309,-60.7718,74.75,86,96,4.5,PY,2021-12-12 04:43:54
207,Vanimo,-2.6741,141.3028,84.31,73,100,7.9,PG,2021-12-12 04:43:54
208,Fort Saint James,54.4333,-124.25,21.2,89,100,2.77,CA,2021-12-12 04:43:55
209,Novobirilyussy,56.9514,90.6661,16.54,92,100,8.3,RU,2021-12-12 04:43:55
210,Makakilo City,21.3469,-158.0858,75.56,69,40,6.91,US,2021-12-12 04:43:55
211,Aksu,41.1231,80.2644,27.57,55,0,0.87,CN,2021-12-12 04:39:14
212,Gat,31.61,34.7642,63.91,41,79,0.96,IL,2021-12-12 04:43:03
213,Okha,53.5739,142.9478,26.73,90,99,9.6,RU,2021-12-12 04:43:56
214,Karla,59.3723,24.9275,33.51,88,90,3.44,EE,2021-12-12 04:43:56
215,Gaoyou,32.7858,119.4278,49.93,48,100,14.54,CN,2021-12-12 04:43:57
216,Doha,25.2867,51.5333,66.18,61,0,9.22,QA,2021-12-12 04:40:45
217,Lagoa,39.05,-27.9833,61.14,68,100,20.11,PT,2021-12-12 04:43:57
218,Airai,-8.9266,125.4092,71.58,76,69,0.51,TL,2021-12-12 04:43:58
219,Haines Junction,60.7522,-137.5108,3.15,66,100,3.44,CA,2021-12-12 04:43:58
220,Maine-Soroa,13.2114,12.0241,65.77,18,52,9.95,NE,2021-12-12 04:43:58
221,Lapua,62.9693,23.0088,29.1,97,99,5.26,FI,2021-12-12 04:43:59
222,Mogadishu,2.0371,45.3438,80.01,76,31,17.67,SO,2021-12-12 04:43:59
223,Oskaloosa,41.2964,-92.6444,35.4,69,1,11.5,US,2021-12-12 04:44:00
224,Manutuke,-38.6833,177.9167,59.99,97,100,8.41,NZ,2021-12-12 04:44:00
225,Parabel,58.6978,81.4825,3.24,92,93,9.91,RU,2021-12-12 04:44:01
226,Luderitz,-26.6481,15.1594,62.55,65,57,9.73,NA,2021-12-12 04:44:01
227,Mackenzie,55.2999,-123.1698,19.62,93,90,6.91,CA,2021-12-12 04:44:02
228,Geilo,60.5333,8.2076,27.46,88,100,1.95,NO,2021-12-12 04:45:02
